agent_id,archetype_id,age,sex,race,marital_status,education,income,housing
2280,871,8,Female,Asian,"Now married, except separated",Bachelor's degree,"$50,000 to $64,999",Householder lived in owner-occupied housing units
2281,525,25,Male,White,Never married,Some college or associate's degree,"$50,000 to $64,999",Householder lived in owner-occupied housing units
2282,965,11,Male,White,Divorced or separated,Graduate or professional degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
2283,346,0,Male,Asian,Never married,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2284,676,73,Male,White,"Now married, except separated",Bachelor's degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
2285,274,26,Male,White,"Now married, except separated",Bachelor's degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
2286,155,26,Male,Hispanic or Latino origin (of any race),"Now married, except separated",Some college or associate's degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
2287,166,33,Male,Asian,"Now married, except separated",Graduate or professional degree,"$65,000 to $74,999",Householder lived in renter-occupied housing units
2288,549,25,Male,Asian,Divorced or separated,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2289,449,47,Male,Asian,Never married,Bachelor's degree,"$1 to $9,999 or loss",Householder lived in owner-occupied housing units
2290,510,41,Female,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2291,595,21,Female,Hispanic or Latino and Asian,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2292,622,42,Male,Asian,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2293,782,56,Male,Native American and Asian,Divorced or separated,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2294,425,14,Female,Asian,"Now married, except separated",Graduate or professional degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
2295,838,28,Female,White,Never married,Bachelor's degree,"$65,000 to $74,999",Householder lived in owner-occupied housing units
2296,374,0,Male,White,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2297,52,69,Male,White,"Now married, except separated",Less than high school graduate,"$75,000 or more",Householder lived in renter-occupied housing units
2298,842,25,Male,White,Never married,Some college or associate's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2299,345,21,Male,Asian,Never married,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2300,823,5,Male,White,Widowed,Bachelor's degree,"$10,000 to $14,999",Householder lived in owner-occupied housing units
2301,399,22,Male,Hispanic or Latino and Middle Eastern,"Now married, except separated",Some college or associate's degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
2302,78,61,Female,White,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2303,220,19,Male,Middle Eastern and Asian and Black or African American,"Now married, except separated",Graduate or professional degree,"$10,000 to $14,999",Householder lived in owner-occupied housing units
2304,716,66,Male,White,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
2305,807,43,Male,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2306,173,52,Female,White,Divorced or separated,Bachelor's degree,"$65,000 to $74,999",Householder lived in renter-occupied housing units
2307,671,68,Female,White,Never married,Bachelor's degree,"$50,000 to $64,999",Householder lived in owner-occupied housing units
2308,977,0,Male,Black or African American,"Now married, except separated",Some college or associate's degree,"$1 to $9,999 or loss",Householder lived in owner-occupied housing units
2309,786,11,Male,Asian,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
2310,978,27,Male,Hispanic or Latino origin (of any race),"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2311,960,50,Female,White,"Now married, except separated",Graduate or professional degree,"$1 to $9,999 or loss",Householder lived in owner-occupied housing units
2312,173,48,Female,White,Divorced or separated,Bachelor's degree,"$65,000 to $74,999",Householder lived in renter-occupied housing units
2313,439,31,Male,Asian,Widowed,Less than high school graduate,"$75,000 or more",Householder lived in renter-occupied housing units
2314,805,11,Male,White,Widowed,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2315,444,4,Male,Hispanic or Latino and Black or African American,"Now married, except separated",Less than high school graduate,"$75,000 or more",Householder lived in renter-occupied housing units
2316,479,12,Female,Asian,Never married,Bachelor's degree,"$15,000 to $24,999",Householder lived in renter-occupied housing units
2317,171,45,Male,White,Never married,High school graduate (includes equivalency),"$35,000 to $49,999",Householder lived in owner-occupied housing units
2318,765,63,Male,Asian,Never married,High school graduate (includes equivalency),"$15,000 to $24,999",Householder lived in renter-occupied housing units
2319,938,73,Female,Hispanic or Latino origin (of any race),"Now married, except separated",Bachelor's degree,"$25,000 to $34,999",Householder lived in renter-occupied housing units
2320,325,61,Male,Asian,"Now married, except separated",High school graduate (includes equivalency),"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
2321,706,26,Male,White,Divorced or separated,Bachelor's degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
2322,589,14,Female,White,Never married,Bachelor's degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
2323,236,9,Male,White,"Now married, except separated",Some college or associate's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2324,640,72,Male,White,"Now married, except separated",Less than high school graduate,"$1 to $9,999 or loss",Householder lived in owner-occupied housing units
2325,674,8,Female,Asian and White,Never married,Some college or associate's degree,"$25,000 to $34,999",Householder lived in renter-occupied housing units
2326,568,67,Female,Pacific Islander and Middle Eastern and Black or African American,Widowed,Some college or associate's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2327,716,71,Male,White,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
2328,878,64,Male,Asian,Divorced or separated,Bachelor's degree,"$25,000 to $34,999",Householder lived in renter-occupied housing units
2329,421,46,Female,Asian,Widowed,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2330,361,44,Male,Asian,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2331,970,0,Female,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2332,167,4,Female,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2333,459,8,Male,Asian,"Now married, except separated",Less than high school graduate,"$25,000 to $34,999",Householder lived in owner-occupied housing units
2334,719,10,Female,Asian,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2335,688,50,Male,Asian,Never married,Some college or associate's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2336,890,37,Male,White,Never married,High school graduate (includes equivalency),"$10,000 to $14,999",Householder lived in owner-occupied housing units
2337,277,62,Female,White,Never married,Bachelor's degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
2338,569,47,Female,Asian,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2339,167,1,Female,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2340,905,65,Female,White,"Now married, except separated",Bachelor's degree,"$50,000 to $64,999",Householder lived in renter-occupied housing units
2341,609,33,Female,White,Never married,Bachelor's degree,"$10,000 to $14,999",Householder lived in owner-occupied housing units
2342,85,58,Female,White,Never married,Graduate or professional degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
2343,994,53,Male,Hispanic or Latino origin (of any race),Divorced or separated,Bachelor's degree,"$25,000 to $34,999",Householder lived in renter-occupied housing units
2344,915,31,Male,Asian,Never married,Graduate or professional degree,"$15,000 to $24,999",Householder lived in renter-occupied housing units
2345,371,27,Male,White,Never married,High school graduate (includes equivalency),"$15,000 to $24,999",Householder lived in owner-occupied housing units
2346,79,60,Female,Asian,"Now married, except separated",High school graduate (includes equivalency),"$75,000 or more",Householder lived in renter-occupied housing units
2347,591,65,Male,Pacific Islander and Native American and Middle Eastern,"Now married, except separated",Less than high school graduate,"$75,000 or more",Householder lived in renter-occupied housing units
2348,44,44,Male,White,Divorced or separated,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2349,95,19,Male,White,"Now married, except separated",High school graduate (includes equivalency),"$15,000 to $24,999",Householder lived in renter-occupied housing units
2350,97,36,Female,Asian,Divorced or separated,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2351,253,56,Male,Asian,"Now married, except separated",Bachelor's degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
2352,967,7,Male,White,Never married,Some college or associate's degree,"$35,000 to $49,999",Householder lived in owner-occupied housing units
2353,150,27,Female,Asian,Never married,Graduate or professional degree,"$10,000 to $14,999",Householder lived in owner-occupied housing units
2354,2,37,Male,Hispanic or Latino origin (of any race),"Now married, except separated",Graduate or professional degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
2355,892,40,Female,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2356,364,30,Male,Asian,Never married,Less than high school graduate,"$75,000 or more",Householder lived in owner-occupied housing units
2357,790,62,Female,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2358,277,64,Female,White,Never married,Bachelor's degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
2359,135,49,Male,Hispanic or Latino origin (of any race),Divorced or separated,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2360,387,40,Male,White,"Now married, except separated",Some college or associate's degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
2361,664,64,Female,Pacific Islander and Middle Eastern,"Now married, except separated",Less than high school graduate,"$75,000 or more",Householder lived in renter-occupied housing units
2362,929,5,Female,White and Middle Eastern and Hispanic or Latino,Widowed,High school graduate (includes equivalency),"$25,000 to $34,999",Householder lived in renter-occupied housing units
2363,331,20,Male,Asian,Never married,Bachelor's degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
2364,175,0,Female,White,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2365,183,44,Male,Hispanic or Latino origin (of any race),Never married,Bachelor's degree,"$10,000 to $14,999",Householder lived in owner-occupied housing units
2366,69,31,Male,White,Never married,Less than high school graduate,"$35,000 to $49,999",Householder lived in owner-occupied housing units
2367,432,25,Female,White,"Now married, except separated",Bachelor's degree,"$25,000 to $34,999",Householder lived in owner-occupied housing units
2368,146,39,Male,Hispanic or Latino origin (of any race),Never married,Some college or associate's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2369,617,39,Female,Asian,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2370,343,15,Male,Asian,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2371,596,0,Female,Pacific Islander and Asian and Middle Eastern,Divorced or separated,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2372,622,41,Male,Asian,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2373,537,58,Female,White,Never married,Less than high school graduate,"$10,000 to $14,999",Householder lived in renter-occupied housing units
2374,508,62,Male,Hispanic or Latino origin (of any race),Never married,Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
2375,191,38,Female,Middle Eastern and Hispanic or Latino and Pacific Islander,Never married,Less than high school graduate,"$10,000 to $14,999",Householder lived in owner-occupied housing units
2376,541,48,Male,Asian,Never married,Some college or associate's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2377,276,24,Male,Hispanic or Latino origin (of any race),Never married,Some college or associate's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2378,765,60,Male,Asian,Never married,High school graduate (includes equivalency),"$15,000 to $24,999",Householder lived in renter-occupied housing units
2379,407,1,Male,Asian,Never married,Less than high school graduate,"$10,000 to $14,999",Householder lived in renter-occupied housing units
2380,446,65,Female,Pacific Islander and White and Native American,"Now married, except separated",Some college or associate's degree,"$65,000 to $74,999",Householder lived in owner-occupied housing units
2381,754,6,Male,Asian,Divorced or separated,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2382,65,19,Male,White,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2383,255,29,Female,Asian,Divorced or separated,Graduate or professional degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
2384,912,38,Female,Asian,Never married,Graduate or professional degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
2385,528,46,Male,White and Pacific Islander,"Now married, except separated",Graduate or professional degree,"$10,000 to $14,999",Householder lived in owner-occupied housing units
2386,896,29,Female,White,Never married,Some college or associate's degree,"$50,000 to $64,999",Householder lived in renter-occupied housing units
2387,373,41,Male,Black or African American and White,Divorced or separated,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2388,584,45,Male,Native American and Black or African American and Asian,Never married,Less than high school graduate,"$35,000 to $49,999",Householder lived in renter-occupied housing units
2389,898,3,Female,Asian,"Now married, except separated",Graduate or professional degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
2390,472,67,Female,White,Never married,Some college or associate's degree,"$1 to $9,999 or loss",Householder lived in owner-occupied housing units
2391,855,19,Male,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2392,591,72,Male,Asian and Hispanic or Latino and Middle Eastern,"Now married, except separated",Less than high school graduate,"$75,000 or more",Householder lived in renter-occupied housing units
2393,741,18,Male,Black or African American,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
2394,44,41,Male,White,Divorced or separated,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2395,159,41,Female,Black or African American and Pacific Islander,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2396,69,30,Male,White,Never married,Less than high school graduate,"$35,000 to $49,999",Householder lived in owner-occupied housing units
2397,703,17,Male,Asian,Divorced or separated,High school graduate (includes equivalency),"$75,000 or more",Householder lived in owner-occupied housing units
2398,169,0,Male,Black or African American,"Now married, except separated",Graduate or professional degree,"$25,000 to $34,999",Householder lived in owner-occupied housing units
2399,164,73,Female,White,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2400,920,20,Female,Asian,Divorced or separated,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2401,971,59,Female,Hispanic or Latino origin (of any race),"Now married, except separated",Bachelor's degree,"$10,000 to $14,999",Householder lived in owner-occupied housing units
2402,420,29,Female,Hispanic or Latino origin (of any race),Divorced or separated,Some college or associate's degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
2403,533,15,Female,Asian,Never married,Graduate or professional degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
2404,135,46,Male,Hispanic or Latino origin (of any race),Divorced or separated,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2405,222,67,Female,White,"Now married, except separated",Some college or associate's degree,"$1 to $9,999 or loss",Householder lived in owner-occupied housing units
2406,711,31,Male,Pacific Islander and Native American,Never married,Graduate or professional degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
2407,827,52,Male,White and Hispanic or Latino and Asian,"Now married, except separated",Graduate or professional degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
2408,761,53,Male,Asian,"Now married, except separated",Some college or associate's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2409,125,4,Male,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2410,363,29,Male,Hispanic or Latino origin (of any race),"Now married, except separated",Some college or associate's degree,"$35,000 to $49,999",Householder lived in owner-occupied housing units
2411,699,63,Male,White,"Now married, except separated",Some college or associate's degree,"$35,000 to $49,999",Householder lived in owner-occupied housing units
2412,389,16,Male,White,Never married,Some college or associate's degree,"$50,000 to $64,999",Householder lived in owner-occupied housing units
2413,330,53,Female,Hispanic or Latino origin (of any race),Widowed,Bachelor's degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
2414,599,59,Male,Asian,"Now married, except separated",Some college or associate's degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
2415,758,33,Male,White,Divorced or separated,Less than high school graduate,"$75,000 or more",Householder lived in renter-occupied housing units
2416,278,17,Male,White,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
2417,852,62,Male,Black or African American,Widowed,High school graduate (includes equivalency),"$75,000 or more",Householder lived in renter-occupied housing units
2418,315,49,Male,Hispanic or Latino origin (of any race),Never married,Less than high school graduate,"$25,000 to $34,999",Householder lived in owner-occupied housing units
2419,58,29,Male,Native American and Middle Eastern,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2420,476,11,Female,White and Hispanic or Latino and Native American,"Now married, except separated",Bachelor's degree,"$65,000 to $74,999",Householder lived in owner-occupied housing units
2421,255,29,Female,Asian,Divorced or separated,Graduate or professional degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
2422,586,26,Female,Hispanic or Latino and White and Black or African American,"Now married, except separated",Some college or associate's degree,"$65,000 to $74,999",Householder lived in renter-occupied housing units
2423,412,24,Female,Asian,Widowed,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2424,99,51,Female,White,Widowed,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2425,248,33,Male,Asian,Never married,Bachelor's degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
2426,432,26,Female,White,"Now married, except separated",Bachelor's degree,"$25,000 to $34,999",Householder lived in owner-occupied housing units
2427,374,0,Male,White,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2428,75,22,Male,Asian,Never married,Graduate or professional degree,"$25,000 to $34,999",Householder lived in renter-occupied housing units
2429,272,65,Female,Asian,"Now married, except separated",High school graduate (includes equivalency),"$10,000 to $14,999",Householder lived in renter-occupied housing units
2430,624,28,Female,White,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2431,279,31,Male,White,Widowed,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2432,884,0,Male,Asian,Divorced or separated,Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
2433,3,57,Female,Asian,Never married,Graduate or professional degree,"$50,000 to $64,999",Householder lived in renter-occupied housing units
2434,308,28,Female,White,"Now married, except separated",Less than high school graduate,"$75,000 or more",Householder lived in owner-occupied housing units
2435,399,23,Male,Asian and Native American and White,"Now married, except separated",Some college or associate's degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
2436,617,43,Female,Asian,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2437,175,0,Female,White,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2438,260,39,Male,Asian,Never married,Bachelor's degree,"$50,000 to $64,999",Householder lived in owner-occupied housing units
2439,613,25,Male,White,Never married,High school graduate (includes equivalency),"$35,000 to $49,999",Householder lived in renter-occupied housing units
2440,834,0,Male,Hispanic or Latino origin (of any race),"Now married, except separated",Some college or associate's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2441,863,1,Male,White,Never married,Bachelor's degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
2442,114,61,Female,Asian,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2443,111,37,Male,Hispanic or Latino and Native American,Never married,Graduate or professional degree,"$15,000 to $24,999",Householder lived in renter-occupied housing units
2444,559,37,Male,White,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2445,502,41,Male,Asian,"Now married, except separated",Bachelor's degree,"$15,000 to $24,999",Householder lived in renter-occupied housing units
2446,385,53,Female,Hispanic or Latino origin (of any race),Never married,Bachelor's degree,"$15,000 to $24,999",Householder lived in renter-occupied housing units
2447,283,28,Male,Asian,Divorced or separated,Graduate or professional degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
2448,653,20,Male,Black or African American and Middle Eastern and Native American,Never married,High school graduate (includes equivalency),"$75,000 or more",Householder lived in owner-occupied housing units
2449,161,53,Male,White,Never married,Some college or associate's degree,"$15,000 to $24,999",Householder lived in renter-occupied housing units
2450,532,67,Female,Hispanic or Latino origin (of any race),"Now married, except separated",Bachelor's degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
2451,961,0,Female,Black or African American and Hispanic or Latino and Middle Eastern,Never married,Graduate or professional degree,"$25,000 to $34,999",Householder lived in owner-occupied housing units
2452,102,13,Male,Asian,"Now married, except separated",High school graduate (includes equivalency),"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
2453,146,36,Male,Hispanic or Latino origin (of any race),Never married,Some college or associate's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2454,678,25,Male,White,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
2455,348,37,Male,Asian,Divorced or separated,High school graduate (includes equivalency),"$35,000 to $49,999",Householder lived in renter-occupied housing units
2456,86,43,Male,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2457,110,52,Female,White,"Now married, except separated",Bachelor's degree,"$1 to $9,999 or loss",Householder lived in owner-occupied housing units
2458,33,72,Male,Asian,"Now married, except separated",Graduate or professional degree,"$25,000 to $34,999",Householder lived in renter-occupied housing units
2459,354,0,Male,Asian,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2460,284,44,Female,Asian,Never married,Some college or associate's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2461,714,0,Male,White,Divorced or separated,High school graduate (includes equivalency),"$50,000 to $64,999",Householder lived in owner-occupied housing units
2462,64,34,Female,White,Never married,High school graduate (includes equivalency),"$10,000 to $14,999",Householder lived in renter-occupied housing units
2463,233,59,Female,White,"Now married, except separated",Some college or associate's degree,"$35,000 to $49,999",Householder lived in owner-occupied housing units
2464,67,0,Female,Asian,"Now married, except separated",Some college or associate's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2465,699,61,Male,White,"Now married, except separated",Some college or associate's degree,"$35,000 to $49,999",Householder lived in owner-occupied housing units
2466,374,0,Male,White,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2467,407,2,Male,Asian,Never married,Less than high school graduate,"$10,000 to $14,999",Householder lived in renter-occupied housing units
2468,448,50,Female,White,Never married,Less than high school graduate,"$1 to $9,999 or loss",Householder lived in owner-occupied housing units
2469,314,67,Male,Native American and Middle Eastern and Hispanic or Latino,"Now married, except separated",Bachelor's degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
2470,432,26,Female,White,"Now married, except separated",Bachelor's degree,"$25,000 to $34,999",Householder lived in owner-occupied housing units
2471,504,34,Male,Hispanic or Latino origin (of any race),"Now married, except separated",Some college or associate's degree,"$65,000 to $74,999",Householder lived in renter-occupied housing units
2472,899,47,Male,Asian,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2473,425,11,Female,Asian,"Now married, except separated",Graduate or professional degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
2474,759,0,Male,Hispanic or Latino origin (of any race),Never married,Bachelor's degree,"$10,000 to $14,999",Householder lived in owner-occupied housing units
2475,873,32,Male,Asian,"Now married, except separated",High school graduate (includes equivalency),"$15,000 to $24,999",Householder lived in renter-occupied housing units
2476,704,34,Female,White,"Now married, except separated",Bachelor's degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
2477,562,71,Female,Middle Eastern and Native American and Black or African American,"Now married, except separated",Bachelor's degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
2478,963,0,Male,White,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2479,464,60,Male,Asian,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2480,73,47,Male,White,Widowed,High school graduate (includes equivalency),"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
2481,504,25,Male,Hispanic or Latino origin (of any race),"Now married, except separated",Some college or associate's degree,"$65,000 to $74,999",Householder lived in renter-occupied housing units
2482,705,35,Female,Asian,Never married,Some college or associate's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2483,310,25,Male,Hispanic or Latino origin (of any race),"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2484,280,66,Male,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2485,78,56,Female,White,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2486,218,28,Male,White and Native American,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2487,413,0,Female,White,Divorced or separated,High school graduate (includes equivalency),"$75,000 or more",Householder lived in owner-occupied housing units
2488,791,36,Male,White,"Now married, except separated",Graduate or professional degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
2489,23,14,Male,White,Never married,High school graduate (includes equivalency),"$50,000 to $64,999",Householder lived in owner-occupied housing units
2490,99,46,Female,White,Widowed,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2491,684,21,Female,White and Native American,"Now married, except separated",Bachelor's degree,"$50,000 to $64,999",Householder lived in renter-occupied housing units
2492,20,5,Male,Hispanic or Latino and Asian and White,Never married,High school graduate (includes equivalency),"$75,000 or more",Householder lived in owner-occupied housing units
2493,385,48,Female,Hispanic or Latino origin (of any race),Never married,Bachelor's degree,"$15,000 to $24,999",Householder lived in renter-occupied housing units
2494,152,71,Male,White,Never married,High school graduate (includes equivalency),"$75,000 or more",Householder lived in owner-occupied housing units
2495,964,57,Male,Asian,Never married,Graduate or professional degree,"$1 to $9,999 or loss",Householder lived in owner-occupied housing units
2496,171,52,Male,White,Never married,High school graduate (includes equivalency),"$35,000 to $49,999",Householder lived in owner-occupied housing units
2497,54,0,Male,Asian,"Now married, except separated",Bachelor's degree,"$50,000 to $64,999",Householder lived in owner-occupied housing units
2498,459,14,Male,Asian,"Now married, except separated",Less than high school graduate,"$25,000 to $34,999",Householder lived in owner-occupied housing units
2499,600,25,Female,Hispanic or Latino origin (of any race),Divorced or separated,Some college or associate's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2500,764,0,Male,White,"Now married, except separated",Less than high school graduate,"$15,000 to $24,999",Householder lived in owner-occupied housing units
2501,269,44,Female,Asian,Never married,Graduate or professional degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
2502,855,22,Male,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2503,195,28,Male,White,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
2504,211,0,Female,Hispanic or Latino origin (of any race),"Now married, except separated",Graduate or professional degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
2505,100,33,Male,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
2506,393,1,Female,White,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
2507,941,73,Male,Asian,"Now married, except separated",Bachelor's degree,"$10,000 to $14,999",Householder lived in owner-occupied housing units
2508,283,31,Male,Asian,Divorced or separated,Graduate or professional degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
2509,205,51,Male,White,"Now married, except separated",Bachelor's degree,"$50,000 to $64,999",Householder lived in renter-occupied housing units
2510,716,67,Male,White,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
2511,700,62,Female,Asian,Never married,Graduate or professional degree,"$15,000 to $24,999",Householder lived in renter-occupied housing units
2512,406,62,Female,Asian,Divorced or separated,Bachelor's degree,"$25,000 to $34,999",Householder lived in owner-occupied housing units
2513,138,68,Female,Asian,Never married,Graduate or professional degree,"$65,000 to $74,999",Householder lived in owner-occupied housing units
